Comment,Designator,Footprint,LCSC
1uF,"C1,C2,C8",C_0603_1608Metric,C106215
Conn_01x09_Socket,"J5,J6",JST_SH_SM09B-SRSS-TB_1x09-1MP_P1.00mm_Horizontal,C160408
100nF,"C10,C3,C4,C5,C9",C_0603_1608Metric,C2930551
RST,SW1,SW_SPST_SKQG_WithoutStem,C318884
MCP1700x-330xxTT,U2,SOT-23,C39051
100k,R3,R_0603_1608Metric,C4107493
MX_SW_HS,"MX1,MX10,MX11,MX12,MX13,MX14,MX15,MX16,MX17,MX18,MX19,MX2,MX20,MX21,MX22,MX23,MX24,MX25,MX26,MX27,MX28,MX29,MX3,MX30,MX31,MX32,MX33,MX34,MX35,MX36,MX37,MX38,MX39,MX4,MX40,MX5,MX6,MX7,MX8,MX9",SW_MX_HS_1u,C5156480
Pico EZmate,J2,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,C588524
10uF,C11,C_0603_1608Metric,C596327
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D33,D34,D35,D36,D37,D38,D4,D40,D5,D6,D7,D8,D9",D_SOD-123F,C64898
4.7uF,C7,C_0603_1608Metric,C695178
STM32F072C8Tx,U1,LQFP-48_7x7mm_P0.5mm,C80488
2N7002,Q1,SOT-23,C8545
10k,"R1,R2",R_0603_1608Metric,C859115
